Alpha,1,,,,,,,,,,,,,,,,,,,,,
Beta,0.049020669,,,,,,,,,,,,,,,,,,,,,
Year,Passengers,Level,Trend,Forecast,Error^2,,,,,,,,,,,,,,,,,
01-01-1985,33,33,3,36,1,,,,,,,,,,,,,,,,,
01-01-1986,35,35,2.950979331,37.95097933,0.904361688,,,,,,,,,,,,,,,,,
01-01-1987,37,37,2.904361688,39.90436169,1.20042331,,,,,,,,,,,,,,,,,
01-01-1988,41,41,2.958070611,43.95807061,120.0793115,,,,,,,,,,,,,,,,,
01-01-1989,33,33,2.42089866,35.42089866,6.651763723,,,,,,,,,,,,,,,,,
01-01-1990,38,38,2.547327933,40.54732793,41.63697681,,,,,,,,,,,,,,,,,9
01-01-1991,47,47,2.863642234,49.86364223,0.745877908,,,,,,,,,,,,,,,,,
01-01-1992,49,49,2.821305914,51.82130591,1.389319749,,,,,,,,,,,,,,,,,
01-01-1993,53,53,2.879086286,55.87908629,9.740102409,,,,,,,,,,,,,,,,,
01-01-1994,59,59,3.032075564,62.03207556,0.936877714,,,,,,,,,,,,,,,,,
01-01-1995,63,63,3.079523867,66.07952387,0.847276311,,,,,,,,,,,,,,,,,
01-01-1996,67,67,3.124646223,70.12464622,1.264829127,,,,,,,,,,,,,,,,,
01-01-1997,69,69,3.069515313,72.06951531,9.421924256,,,,,,,,,,,,,,,,,
01-01-1998,69,69,2.919045619,71.91904562,0.006553612,,,,,,,,,,,,,,,,,
01-01-1999,72,72,2.923014057,74.92301406,9.467842493,,,,,,,,,,,,,,,,,
01-01-2000,78,78,3.073849966,81.07384997,4.300853682,,,,,,,,,,,,,,,,,
01-01-2001,79,79,2.972188454,81.97218845,35.66703493,,,,,,,,,,,,,,,,,
01-01-2002,76,76,2.679427781,78.67942778,5.385055425,,,,,,,,,,,,,,,,,
01-01-2003,81,81,2.793183783,83.79318378,104.1790973,,,,,,,,,,,,,,,,,
01-01-2004,94,94,3.293528741,97.29352874,13.73792919,,,,,,,,,,,,,,,,,
01-01-2005,101,101,3.475222442,104.4752224,12.42405683,,,,,,,,,,,,,,,,,
01-01-2006,108,108,3.648009395,111.6480094,11.23584101,,,,,,,,,,,,,,,,,
01-01-2007,115,115,3.812326217,118.8123262,10.16126415,,,,,,,,,,,,,,,,,
01-01-2008,122,122,3.968588118,125.9685881,8.812515415,,,,,,,,,,,,,,,,,
01-01-2009,123,123,3.823065943,126.8230659,26.80064623,,,,,,,,,,,,,,,,,
01-01-2010,132,132,4.076842713,136.0768427,1.159590229,,,,,,,,,,,,,,,,,
01-01-2011,135,135,4.024055163,139.0240552,0.952468325,,,,,,,,,,,,,,,,,
01-01-2012,140,140,4.071896632,144.0718966,0.005169126,,,,,,,,,,,,,,,,,
01-01-2013,144,144,4.068372211,148.0683722,1.141419181,,,,,,,,,,,,,,,,,
01-01-2014,147,147,4.01599989,151.0159999,4.064255558,,,,,,,,,,,,,,,,,
01-01-2015,149,149,3.917174227,152.9171742,1.172511654,,,,,,,,,,,,,,,,,
01-01-2016,154,154,3.970255071,157.9702551,0.000884761,,,,,,,,,,,,,,,,,
01-01-2017,158,158,3.971713187,161.9717132,#VALUE!,,,,,,,,,,,,,,,,,
,Forecast>>,,,289.0665352,83559.46176,,,,,,,,,,,,,,,,,
,,,,293.0382484,85871.41501,,,,,,,,,,,,,,,,,
,,,,297.0099616,88214.91726,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,MSE>>>,13.95293855,,,,,,,,,,,,,,,,,,
