user,text,created_at,sentiment
Atul Tiwari,RT @BJP4India: Modi government has given wings to the hopes and aspirations of the middle class by taking all possible steps to improve theâ€¦,Tue Feb 05 09:42:30 +0000 2019,Positive
chandankumar,RT @narendramodi: NDA Government is honoured to have undertaken numerous steps for the wellbeing of the middle class. From a friendlier tax…,Tue Feb 05 09:42:31 +0000 2019,Positive
Dr.Ramesh Pokhriyal,Modi government has announced a slew of tax reliefs which will benefit around 3 crore small and middle-class tax-pa… https://t.co/9IQPfBpCTe,Tue Feb 05 09:42:36 +0000 2019,Positive
hamzahrather,The former bureaucrat @shahfaesal likened his tenure in the #Indian Administrative Service to time spent in jail.… https://t.co/KsNGg5aICT,Tue Feb 05 09:42:37 +0000 2019,Neutral
BRIJ PAL SINGH,"#MiddleClassWithModi
#MiddleClassWithModi
via NaMo App https://t.co/qjClIqqgWC",Tue Feb 05 09:42:37 +0000 2019,Neutral
Amol Tikam,RT @narendramodi: NDA Government is honoured to have undertaken numerous steps for the wellbeing of the middle class. From a friendlier tax…,Tue Feb 05 09:42:39 +0000 2019,Positive
BRIJ PAL SINGH,"#MiddleClassWithModi
#MiddleClassWithModi
via NaMo App https://t.co/hFFNfZrSIJ",Tue Feb 05 09:42:40 +0000 2019,Neutral
Shashidhar Hegde,@narendramodi #MiddleClassWithModi https://t.co/XRaJdjGuw7,Tue Feb 05 09:42:41 +0000 2019,Neutral
Sandeep Narania,RT @narendramodi: NDA Government is honoured to have undertaken numerous steps for the wellbeing of the middle class. From a friendlier tax…,Tue Feb 05 09:42:42 +0000 2019,Positive
Nandkishore,"RT @YourGirlNeha: #MiddleClassWithModi???

“Ghar me shaadi hai, Paisa nahin hai”

Do you think we forgot this dialogue modi, you mocked the…",Tue Feb 05 09:42:42 +0000 2019,Negative
BRIJ PAL SINGH,"#MiddleClassWithModi
#MiddleClassWithModi
via NaMo App https://t.co/kAfmSH8Hte",Tue Feb 05 09:42:45 +0000 2019,Neutral
BRIJ PAL SINGH,"#MiddleClassWithModi
#MiddleClassWithModi
via NaMo App https://t.co/zRVaAjCRcj",Tue Feb 05 09:42:50 +0000 2019,Neutral
Affrin Naaz,RT @sureshpprabhu: With price capping on expensive medical treatments such as cardiac stents &amp; knee implants and the reduced interest rate…,Tue Feb 05 09:42:52 +0000 2019,Positive
Rukhsar Ahmad,RT @narendramodi: NDA Government is honoured to have undertaken numerous steps for the wellbeing of the middle class. From a friendlier tax…,Tue Feb 05 09:42:53 +0000 2019,Positive
